,ID,X,Y
0,52361117720,146.874207094721,-36.148642442824
1,52361117721,146.874105667411,-36.148415939224
2,55101074620,146.894169430452,-36.108997256351
3,55101074621,146.893994141593,-36.109850183450
4,40052200790,146.335018365612,-36.351206743285
5,40052200791,146.337877185507,-36.351671866336
6,52362095850,146.865396647581,-36.130789223397
7,52362095851,146.865855117777,-36.128680532789
8,52362088060,146.866752752329,-36.124318407534
9,52362088061,146.866917792640,-36.123394133817
10,55101069660,146.898973415759,-36.100436724081
11,55101069661,146.898502137768,-36.101196491562
12,40052244450,146.444360198648,-36.390506704684
13,40052244451,146.444891136039,-36.390642182142
14,55100066110,146.904289185593,-36.091851864297
15,55100066111,146.906072926124,-36.091368164171
16,52362109240,146.862413689978,-36.141155381526
17,52362109241,146.862386042431,-36.141051173618
18,40052282560,146.556349311507,-36.454247778093
19,40052282561,146.577807122863,-36.463339002909
20,54892314160,146.723967602850,-36.560852839892
21,54892314161,146.723342856368,-36.561503641494
22,54892314650,146.722526603575,-36.562340896975
23,54892314651,146.721770014311,-36.563173183589
24,54892350990,146.681002915233,-36.677332108502
25,54892350991,146.677582960983,-36.679561466402
26,55100074240,146.893654666272,-36.109317848436
27,55100074241,146.893717055749,-36.107809026996
28,52362113710,146.866927900437,-36.144950706548
29,52362113711,146.864158040622,-36.143475048721
30,52362101000,146.864178091534,-36.135120586645
31,52362101001,146.865045214948,-36.132472226083
32,52362087040,146.866917792640,-36.123394133817
33,52362087041,146.867101492404,-36.122498660568
34,40052200420,146.333437347002,-36.351362149393
35,40052200421,146.333624270281,-36.351423676186
36,52362078460,146.868606527421,-36.114993481549
37,52362078461,146.868488118659,-36.114750392927
38,54892331310,146.688443752684,-36.601992812039
39,54892331311,146.682249366710,-36.617600185357
40,40052296090,146.680455927877,-36.521372174421
41,40052296091,146.682213328034,-36.523390632292
42,54892351970,146.678025621372,-36.680626658551
43,54892351971,146.678633497731,-36.681721403809
44,80652076030,146.893407532795,-36.111415644894
45,80652076031,146.893509682038,-36.110778231925
46,52182077010,146.865556599878,-36.112871269430
47,52182077011,146.865886199582,-36.113086478328
48,52362091360,146.866202141125,-36.127121812672
49,52362091361,146.866079816083,-36.127052065748
50,40052228320,146.378962398473,-36.370026947592
51,40052228321,146.389927529403,-36.375431377579
52,40052272040,146.515245617743,-36.426733543116
53,40052272041,146.534342947845,-36.432170162232
54,54892351290,146.677582960983,-36.679561466402
