,ID,X,Y
0,52180075590,146.863415136471,-36.111348709374
1,52180075591,146.863656007312,-36.111492535310
2,55100066110,146.904289185593,-36.091851864297
3,55100066111,146.906072926124,-36.091368164171
4,52361085340,146.867265732941,-36.121798924593
5,52361085341,146.867505353556,-36.121667938372
6,52362109240,146.862413689978,-36.141155381526
7,52362109241,146.862386042431,-36.141051173618
8,52361117720,146.874207094721,-36.148642442824
9,52361117721,146.874105667411,-36.148415939224
10,52361103300,146.863597334533,-36.136978525615
11,52361103301,146.863486084705,-36.136782827125
12,52182077010,146.865556599878,-36.112871269430
13,52182077011,146.865886199582,-36.113086478328
14,80652074960,146.893580665953,-36.110308581247
15,80652074961,146.893611451277,-36.109991125386
16,52362072860,146.870070041411,-36.108209684771
17,52362072861,146.870287821946,-36.107221918910
18,55100070280,146.897671678890,-36.102289160046
19,55100070281,146.898360533141,-36.101158814341
20,55100069640,146.898360533141,-36.101158814341
21,55100069641,146.901581027411,-36.095961227434
22,52361091390,146.866202141125,-36.127121812672
23,52361091391,146.866410302047,-36.127005553692
24,52362110770,146.862933768977,-36.142301467517
25,52362110771,146.862413689978,-36.141155381526
26,52361103430,146.863358948261,-36.137046393162
27,52361103431,146.863597334533,-36.136978525615
28,55101066850,146.903856018883,-36.092355401305
29,55101066851,146.903150520639,-36.093458332101
30,80652076030,146.893407532795,-36.111415644894
31,80652076031,146.893509682038,-36.110778231925
32,52362090980,146.866257717786,-36.126834367209
33,52362090981,146.866438027041,-36.125823702311
34,52362093370,146.865855117777,-36.128680532789
35,52362093371,146.866202141125,-36.127121812672
36,55100066340,146.903715947724,-36.092278448893
37,55100066341,146.904289185593,-36.091851864297
38,55100074240,146.893654666272,-36.109317848436
39,55100074241,146.893717055749,-36.107809026996
40,80662074660,146.899352250601,-36.109806413431
41,80662074661,146.899354830646,-36.109602784845
42,52362091110,146.866079816083,-36.127052065748
43,52362091111,146.866257717786,-36.126834367209
44,55101070310,146.898502137768,-36.101196491562
45,55101070311,146.897806903079,-36.102343311223
46,52362113710,146.866927900437,-36.144950706548
47,52362113711,146.864158040622,-36.143475048721
48,52362113930,146.867435049955,-36.145229155743
49,52362113931,146.866927900437,-36.144950706548
50,52362102820,146.863486084705,-36.136782827125
51,52362102821,146.863965453773,-36.135490671361
52,52362088060,146.866752752329,-36.124318407534
53,52362088061,146.866917792640,-36.123394133817
54,52362115280,146.869447881433,-36.146334254719
55,52362115281,146.867435049955,-36.145229155743
56,52362091360,146.866202141125,-36.127121812672
57,52362091361,146.866079816083,-36.127052065748
58,55101073920,146.895131282227,-36.106571255972
59,55101073921,146.894169430452,-36.108997256351
60,52182078150,146.867923745396,-36.114416854866
61,52182078151,146.868479233387,-36.114758806174
62,55101069370,146.900840238906,-36.097575408615
63,55101069371,146.898973415759,-36.100436724081
64,55101066070,146.906098749380,-36.091439335604
65,55101066071,146.905773569139,-36.091545174113
66,52362108950,146.862386042431,-36.141051173618
67,52362108951,146.862205622983,-36.140150596870
68,52181075650,146.863362534910,-36.111582164929
69,52181075651,146.863310750227,-36.111453931413
70,52362083230,146.867732537192,-36.119458465045
71,52362083231,146.867895725206,-36.118698720612
72,55101066160,146.905773569139,-36.091545174113
73,55101066161,146.904312516609,-36.091992756657
74,52180075470,146.862523194906,-36.110687342392
75,52180075471,146.863415136471,-36.111348709374
76,52362079190,146.868482235066,-36.115922093567
77,52362079191,146.868606527421,-36.114993481549
78,52361078480,146.868606527421,-36.114993481549
79,52361078481,146.868766846537,-36.114940539396
80,80152074930,146.893893497748,-36.110272097261
81,80152074931,146.899136427825,-36.109449536077
82,55100072040,146.894594994369,-36.106347201958
83,55100072041,146.895433896937,-36.105561331945
84,52362084950,146.867336477706,-36.121470997850
85,52362084951,146.867732537192,-36.119458465045
86,52362073460,146.869899810403,-36.109040732616
87,52362073461,146.870070041411,-36.108209684771
88,52182077950,146.865886199582,-36.113086478328
89,52182077951,146.867923745396,-36.114416854866
90,52360073910,146.869827182862,-36.109386791362
91,52360073911,146.869648207893,-36.109206836203
92,52362117650,146.873915154375,-36.148667769473
93,52362117651,146.873875241053,-36.148501926562
94,52361091180,146.866410302047,-36.127005553692
95,52361091181,146.866257717786,-36.126834367209
96,52361073710,146.870076616463,-36.109247638349
97,52361073711,146.869899810403,-36.109040732616
98,52362071860,146.870491733005,-36.106341784981
99,52362071861,146.870595961096,-36.105918799594
100,52361073930,146.869827182862,-36.109386791362
101,52361073931,146.870076616463,-36.109247638349
102,52361117580,146.874105667411,-36.148415939224
103,52361117581,146.873875241053,-36.148501926562
104,52362117730,146.874207094721,-36.148642442824
105,52362117731,146.873915154375,-36.148667769473
106,52361078410,146.868766846537,-36.114940539396
107,52361078411,146.868660678313,-36.114701100813
108,52360073660,146.869648207893,-36.109206836203
109,52360073661,146.869899810403,-36.109040732616
110,55100066490,146.903472947353,-36.092542065486
111,55100066491,146.903715947724,-36.092278448893
112,52362103090,146.863292627007,-36.136998628019
113,52362103091,146.863486084705,-36.136782827125
114,52362079590,146.868413911905,-36.116267047187
115,52362079591,146.868482235066,-36.115922093567
116,52181075730,146.863557455464,-36.111607048648
117,52181075731,146.863362534910,-36.111582164929
118,52362088880,146.866611349696,-36.124943413433
119,52362088881,146.866752752329,-36.124318407534
120,55100074740,146.893611451277,-36.109991125386
121,55100074741,146.893654666272,-36.109317848436
122,55101068370,146.901734402788,-36.096004983672
123,55101068371,146.900840238906,-36.097575408615
124,52362117170,146.872887247550,-36.148164772563
125,52362117171,146.869982670494,-36.146628865278
