ItemType,ItemIdentifier,OptShift,CrewTypeID,CrewTypeCode,CrewNum,Sequence,DistanceTravelForJob,PointsCalculatedForJob,PlanStartDate,PlanEndDate
Segment End,5236110343,2023-10-17T07:30:00.0,9e080037-7ada-4083-9fe7-dc7874404fde,WodoStateHaz,1,105,0.024946799999999998,,2023-10-17T08:09:34.0,2023-10-17T08:09:34.0
Segment Start,5510106685,2023-10-17T07:30:00.0,9e080037-7ada-4083-9fe7-dc7874404fde,WodoStateHaz,1,32,0.0,,2023-10-17T07:40:23.0,2023-10-17T07:40:23.0
Segment End,5510106685,2023-10-17T07:30:00.0,9e080037-7ada-4083-9fe7-dc7874404fde,WodoStateHaz,1,33,0.14029660000000002,,2023-10-17T07:40:35.0,2023-10-17T07:40:35.0
Segment Start,8065207603,2023-10-17T07:30:00.0,9e080037-7ada-4083-9fe7-dc7874404fde,WodoStateHaz,1,54,0.32,,2023-10-17T07:44:52.0,2023-10-17T07:44:52.0
Segment End,8065207603,2023-10-17T07:30:00.0,9e080037-7ada-4083-9fe7-dc7874404fde,WodoStateHaz,1,55,0.0712513,,2023-10-17T07:44:59.0,2023-10-17T07:44:59.0
Segment Start,5236209098,2023-10-17T07:30:00.0,9e080037-7ada-4083-9fe7-dc7874404fde,WodoStateHaz,1,134,0.0,,2023-10-17T08:11:39.0,2023-10-17T08:11:39.0
Segment End,5236209098,2023-10-17T07:30:00.0,9e080037-7ada-4083-9fe7-dc7874404fde,WodoStateHaz,1,135,0.1115723,,2023-10-17T08:11:49.0,2023-10-17T08:11:49.0
Segment Start,5236209337,2023-10-17T07:30:00.0,9e080037-7ada-4083-9fe7-dc7874404fde,WodoStateHaz,1,124,0.0,,2023-10-17T08:11:07.0,2023-10-17T08:11:07.0
Segment End,5236209337,2023-10-17T07:30:00.0,9e080037-7ada-4083-9fe7-dc7874404fde,WodoStateHaz,1,125,0.1730345,,2023-10-17T08:11:23.0,2023-10-17T08:11:23.0
Segment Start,5510006634,2023-10-17T07:30:00.0,9e080037-7ada-4083-9fe7-dc7874404fde,WodoStateHaz,1,22,0.0,,2023-10-17T07:37:30.0,2023-10-17T07:37:30.0
Segment End,5510006634,2023-10-17T07:30:00.0,9e080037-7ada-4083-9fe7-dc7874404fde,WodoStateHaz,1,23,0.0694952,,2023-10-17T07:37:36.0,2023-10-17T07:37:36.0
Segment Start,5510007424,2023-10-17T07:30:00.0,9e080037-7ada-4083-9fe7-dc7874404fde,WodoStateHaz,1,6,0.0,,2023-10-17T07:34:21.0,2023-10-17T07:34:21.0
Segment End,5510007424,2023-10-17T07:30:00.0,9e080037-7ada-4083-9fe7-dc7874404fde,WodoStateHaz,1,7,0.1659052,,2023-10-17T07:34:36.0,2023-10-17T07:34:36.0
Segment Start,8066207466,2023-10-17T07:30:00.0,9e080037-7ada-4083-9fe7-dc7874404fde,WodoStateHaz,1,64,0.0,,2023-10-17T07:52:05.0,2023-10-17T07:52:05.0
Segment End,8066207466,2023-10-17T07:30:00.0,9e080037-7ada-4083-9fe7-dc7874404fde,WodoStateHaz,1,65,0.0228979,,2023-10-17T07:52:07.0,2023-10-17T07:52:07.0
Segment Start,5236209111,2023-10-17T07:30:00.0,9e080037-7ada-4083-9fe7-dc7874404fde,WodoStateHaz,1,130,0.0,,2023-10-17T08:11:31.0,2023-10-17T08:11:31.0
Segment End,5236209111,2023-10-17T07:30:00.0,9e080037-7ada-4083-9fe7-dc7874404fde,WodoStateHaz,1,131,0.0354956,,2023-10-17T08:11:34.0,2023-10-17T08:11:34.0
Segment Start,5510107031,2023-10-17T07:30:00.0,9e080037-7ada-4083-9fe7-dc7874404fde,WodoStateHaz,1,42,0.0,,2023-10-17T07:42:03.0,2023-10-17T07:42:03.0
