Variable,Value
"x[52362117591,52362121190,WodoStateHaz_1]",-0.0
"x[52362071860,52361103301,WodoStateHaz_1]",0.0
"x[52362108950,80662074660,WodoStateHaz_1]",0.0
"x[55100066491,80652076030,WodoStateHaz_1]",-0.0
"x[52182077951,52362072281,WodoStateHaz_1]",0.0
"x[55101073921,52362072861,WodoStateHaz_1]",0.0
"x[55100072840,52362097371,WodoStateHaz_1]",0.0
"x[52362087041,52362101001,WodoStateHaz_1]",0.0
"x[55100066340,52362110771,WodoStateHaz_1]",0.0
"x[52362091111,52362093371,WodoStateHaz_1]",0.0
"x[80662074660,52362078101,WodoStateHaz_1]",0.0
"x[52181075730,52362082211,WodoStateHaz_1]",0.0
"x[52362110771,52362111970,WodoStateHaz_1]",-0.0
"x[55101068370,52362111970,WodoStateHaz_1]",0.0
"x[52361085180,52362072191,WodoStateHaz_1]",0.0
"x[52362078460,52362073460,WodoStateHaz_1]",0.0
"x[52362103090,55100070280,WodoStateHaz_1]",0.0
"x[52361078480,52361117721,WodoStateHaz_1]",0.0
"x[52362071860,52181075651,WodoStateHaz_1]",0.0
"x[55100067821,52361117720,WodoStateHaz_1]",-0.0
"x[52362082210,80652074961,WodoStateHaz_1]",0.0
"x[52361078410,55101066071,WodoStateHaz_1]",0.0
"x[55101069371,80662076521,WodoStateHaz_1]",0.0
"x[55100066340,52362085320,WodoStateHaz_1]",0.0
"x[52362117651,55100066341,WodoStateHaz_1]",0.0
"x[52361085340,52362079191,WodoStateHaz_1]",0.0
"x[52362093370,52362072280,WodoStateHaz_1]",0.0
"x[52362110771,52362091360,WodoStateHaz_1]",-0.0
"x[52362103090,52362083231,WodoStateHaz_1]",0.0
"x[55101069660,80652076031,WodoStateHaz_1]",0.0
"x[55100074241,52362111970,WodoStateHaz_1]",-0.0
"x[52362102820,52362103091,WodoStateHaz_1]",0.0
"x[52362109240,52360073660,WodoStateHaz_1]",0.0
"x[52362093371,52360073661,WodoStateHaz_1]",0.0
"x[52362078101,52362103091,WodoStateHaz_1]",0.0
"x[52362078101,52362097371,WodoStateHaz_1]",0.0
"x[55101071741,80662074661,WodoStateHaz_1]",0.0
"x[52360073911,52362115280,WodoStateHaz_1]",-0.0
"x[55101069661,55100067820,WodoStateHaz_1]",-0.0
"x[55101067850,52362087040,WodoStateHaz_1]",0.0
"x[52361103431,55101072160,WodoStateHaz_1]",-0.0
"x[52362091361,52362072190,WodoStateHaz_1]",-0.0
"x[52362113711,52362095850,WodoStateHaz_1]",-0.0
"x[52362111971,52360073911,WodoStateHaz_1]",0.0
"x[52361073931,52362091361,WodoStateHaz_1]",0.0
"x[55100066491,52361091180,WodoStateHaz_1]",-0.0
"x[52362121191,52362109241,WodoStateHaz_1]",0.0
"x[52180075471,55101066161,WodoStateHaz_1]",0.0
"x[52362101000,52362107540,WodoStateHaz_1]",0.0
"x[52362088881,55101071271,WodoStateHaz_1]",0.0
"x[80152074930,55101066161,WodoStateHaz_1]",0.0
"x[52362088881,52181075730,WodoStateHaz_1]",-0.0
"x[80152074471,55101069370,WodoStateHaz_1]",-0.0
"x[52180075470,52362117170,WodoStateHaz_1]",0.0
"x[52362117171,55101074620,WodoStateHaz_1]",-0.0
"x[52362091360,52181075731,WodoStateHaz_1]",0.0
"x[55101068371,52362090980,WodoStateHaz_1]",-0.0
"x[52362095850,80152074470,WodoStateHaz_1]",0.0
"x[52362117731,52362117591,WodoStateHaz_1]",0.0
"x[52362088061,52362078460,WodoStateHaz_1]",-0.0
"x[52362091111,52181075561,WodoStateHaz_1]",0.0
"x[52362089971,52361091390,WodoStateHaz_1]",-0.0
"x[52362080380,52362087041,WodoStateHaz_1]",0.0
"x[55100071721,55100066111,WodoStateHaz_1]",0.0
"x[52362071860,52362117591,WodoStateHaz_1]",0.0
"x[52181076840,52362117731,WodoStateHaz_1]",0.0
"x[52361103430,52362101201,WodoStateHaz_1]",0.0
