CrewTypeID,Sequence
WodoStateHaz_1,"[""1010"", ""80652074960"", ""80652074961"", ""55100074740"", ""55100074741"", ""55100074240"", ""55100074241"", ""55100072840"", ""55100072841"", ""55100072040"", ""55100072041"", ""55100071720"", ""55100071721"", ""55100070280"", ""55100070281"", ""55100069640"", ""55100069641"", ""55100067820"", ""55100067821"", ""55100066490"", ""55100066491"", ""55100066340"", ""55100066341"", ""55100066110"", ""55100066111"", ""55101066070"", ""55101066071"", ""55101066160"", ""55101066161"", ""55101066410"", ""55101066411"", ""55101066850"", ""55101066851"", ""55101067850"", ""55101067851"", ""55101068370"", ""55101068371"", ""55101069370"", ""55101069371"", ""55101069660"", ""55101069661"", ""55101070310"", ""55101070311"", ""55101071270"", ""55101071271"", ""55101071740"", ""55101071741"", ""55101072160"", ""55101072161"", ""55101073920"", ""55101073921"", ""55101074620"", ""55101074621"", ""80652076030"", ""80652076031"", ""80652075270"", ""80652075271"", ""80152074930"", ""80152074931"", ""80152074470"", ""80152074471"", ""80662076520"", ""80662076521"", ""80662074660"", ""80662074661"", ""29688540"", ""29685680"", ""25701084640"", ""25701084641"", ""25700103690"", ""25700103691"", ""52362121800"", ""52362121801"", ""52362121190"", ""52362121191"", ""52362119990"", ""52362119991"", ""52362117730"", ""52362117731"", ""52362117650"", ""52362117651"", ""52361117720"", ""52361117721"", ""52361117580"", ""52361117581"", ""28514520"", ""27848360"", ""27845830"", ""27844920"", ""27845220"", ""27845180"", ""27847240"", ""27845270"", ""27840400"", ""27841370"", ""27850030"", ""27849680"", ""29689060"", ""30269700"", ""27845650"", ""28513820"", ""29692220"", ""28514090"", ""52362117590"", ""52362117591"", ""52362117170"", ""52362117171"", ""52362115630"", ""52362115631"", ""52362115280"", ""52362115281"", ""52362113930"", ""52362113931"", ""52362113710"", ""52362113711"", ""52362111970"", ""52362111971"", ""52362110770"", ""52362110771"", ""52362109240"", ""52362109241"", ""52362108950"", ""52362108951"", ""52362107540"", ""52362107541"", ""52361103430"", ""52361103431"", ""52362103410"", ""52362103411"", ""52362103090"", ""52362103091"", ""52361103300"", ""52361103301"", ""52362102820"", ""52362102821"", ""52362101200"", ""52362101201"", ""52362101000"", ""52362101001"", ""52362098030"", ""52362098031"", ""52362097370"", ""52362097371"", ""52362095850"", ""52362095851"", ""52362093370"", ""52362093371"", ""52361091390"", ""52361091391"", ""52361091180"", ""52361091181"", ""52362091360"", ""52362091361"", ""52362091110"", ""52362091111"", ""52362090980"", ""52362090981"", ""52362089970"", ""52362089971"", ""52362088880"", ""52362088881"", ""52362088060"", ""52362088061"", ""52362087040"", ""52362087041"", ""52362086120"", ""52362086121"", ""52361085340"", ""52361085341"", ""52362085320"", ""52362085321"", ""52362085140"", ""52362085141"", ""52361085180"", ""52361085181"", ""52362084950"", ""52362084951"", ""52362083230"", ""52362083231"", ""52362082210"", ""52362082211"", ""52362080380"", ""52362080381"", ""52362079590"", ""52362079591"", ""52362079190"", ""52362079191"", ""52362078460"", ""52362078461"", ""52361078480"", ""52361078481"", ""52361078410"", ""52361078411"", ""52181076840"", ""52181076841"", ""52181075730"", ""52181075731"", ""52181075650"", ""52181075651"", ""52181075560"", ""52181075561"", ""52180075470"", ""52180075471"", ""52180075590"", ""52180075591"", ""52180076830"", ""52180076831"", ""52182077010"", ""52182077011"", ""52182077950"", ""52182077951"", ""52182078150"", ""52182078151"", ""52362078100"", ""52362078101"", ""52361073930"", ""52361073931"", ""52360073660"", ""52360073661"", ""52361073710"", ""52361073711"", ""52362073460"", ""52362073461"", ""52362072860"", ""52362072861"", ""52362072280"", ""52362072281"", ""52362072190"", ""52362072191"", ""52362071860"", ""52362071861"", ""52360073910"", ""52360073911"", ""1010""]"
WangStateHaz_1,"[""1009"", ""40052200420"", ""40052200421"", ""40052200400"", ""40052200401"", ""40052200790"", ""40052200791"", ""40052202980"", ""40052202981"", ""40052204880"", ""40052204881"", ""40052207420"", ""40052207421"", ""40052209330"", ""40052209331"", ""40052214290"", ""40052214291"", ""40052218960"", ""40052218961"", ""40052220510"", ""40052220511"", ""40052220690"", ""40052220691"", ""40052222270"", ""40052222271"", ""40052222400"", ""40052222401"", ""40052228320"", ""40052228321"", ""40052236120"", ""40052236121"", ""40052244250"", ""40052244251"", ""40052244450"", ""40052244451"", ""40052244830"", ""40052244831"", ""40052246050"", ""40052246051"", ""40052248410"", ""40052248411"", ""40052254630"", ""40052254631"", ""40052254690"", ""40052254691"", ""40052258090"", ""40052258091"", ""40052260770"", ""40052260771"", ""27842480"", ""40052263300"", ""40052263301"", ""40052267170"", ""40052267171"", ""40052268500"", ""40052268501"", ""40052272040"", ""40052272041"", ""40052272500"", ""40052272501"", ""40052272740"", ""40052272741"", ""40052272860"", ""40052272861"", ""40052275960"", ""40052275961"", ""40052279320"", ""40052279321"", ""29690840"", ""27841500"", ""40052279550"", ""40052279551"", ""40052282560"", ""40052282561"", ""29688950"", ""40052283230"", ""40052283231"", ""40052285390"", ""40052285391"", ""40052285460"", ""40052285461"", ""40052285810"", ""40052285811"", ""40052285840"", ""40052285841"", ""40052286430"", ""40052286431"", ""40052287380"", ""40052287381"", ""27841900"", ""29688930"", ""29689840"", ""29686660"", ""29686690"", ""29292720"", ""29689810"", ""40052287810"", ""40052287811"", ""40052289330"", ""40052289331"", ""40052290020"", ""40052290021"", ""40052291570"", ""40052291571"", ""40052292590"", ""40052292591"", ""29686550"", ""28517120"", ""40052295630"", ""40052295631"", ""40052296090"", ""40052296091"", ""40052296770"", ""40052296771"", ""40052297450"", ""40052297451"", ""40052299030"", ""40052299031"", ""40052299950"", ""40052299951"", ""40052304740"", ""40052304741"", ""29172610"", ""40052307510"", ""40052307511"", ""40052309860"", ""40052309861"", ""40052310410"", ""40052310411"", ""40052312900"", ""40052312901"", ""40052313440"", ""40052313441"", ""54892314160"", ""54892314161"", ""54892314420"", ""54892314421"", ""54892314650"", ""54892314651"", ""54892315590"", ""54892315591"", ""54892316060"", ""54892316061"", ""29688750"", ""54892316430"", ""54892316431"", ""54892316590"", ""54892316591"", ""54892317300"", ""54892317301"", ""54892318250"", ""54892318251"", ""29686110"", ""54892318540"", ""54892318541"", ""54892318990"", ""54892318991"", ""54892318960"", ""54892318961"", ""54892318800"", ""54892318801"", ""54892320330"", ""54892320331"", ""54892323850"", ""54892323851"", ""54892325720"", ""54892325721"", ""54892326290"", ""54892326291"", ""54892326450"", ""54892326451"", ""54892326760"", ""54892326761"", ""54892331310"", ""54892331311"", ""54892343500"", ""54892343501"", ""54892344120"", ""54892344121"", ""54892344260"", ""54892344261"", ""54892350460"", ""54892350461"", ""54892350990"", ""54892350991"", ""54892351290"", ""54892351291"", ""54892351350"", ""54892351351"", ""54892351480"", ""54892351481"", ""54892351970"", ""54892351971"", ""54892354850"", ""54892354851"", ""29688780"", ""54892354970"", ""54892354971"", ""54892357410"", ""54892357411"", ""54892362430"", ""54892362431"", ""54892363470"", ""54892363471"", ""54892364350"", ""54892364351"", ""54892365410"", ""54892365411"", ""54892365420"", ""54892365421"", ""54892365120"", ""54892365121"", ""1009""]"
