OptRunID,Identifier,Time
7B81F1F2-2BB6-45EA-BA70-DD823385BD0A,52361117720,518.8828999999926
7B81F1F2-2BB6-45EA-BA70-DD823385BD0A,52361117721,518.9282999999925
7B81F1F2-2BB6-45EA-BA70-DD823385BD0A,55101074620,463.5065999999849
7B81F1F2-2BB6-45EA-BA70-DD823385BD0A,55101074621,463.65269999998486
7B81F1F2-2BB6-45EA-BA70-DD823385BD0A,40052200790,456.6297999999999
7B81F1F2-2BB6-45EA-BA70-DD823385BD0A,40052200791,457.0234
7B81F1F2-2BB6-45EA-BA70-DD823385BD0A,52362095850,891.8815000000043
7B81F1F2-2BB6-45EA-BA70-DD823385BD0A,52362095851,892.2324000000042
7B81F1F2-2BB6-45EA-BA70-DD823385BD0A,52362088060,893.1792000000044
7B81F1F2-2BB6-45EA-BA70-DD823385BD0A,52362088061,893.3322000000044
7B81F1F2-2BB6-45EA-BA70-DD823385BD0A,55101069660,461.9106999999851
7B81F1F2-2BB6-45EA-BA70-DD823385BD0A,55101069661,462.0543999999852
7B81F1F2-2BB6-45EA-BA70-DD823385BD0A,40052244450,472.87389999999857
7B81F1F2-2BB6-45EA-BA70-DD823385BD0A,40052244451,472.9488999999986
7B81F1F2-2BB6-45EA-BA70-DD823385BD0A,55100066110,457.615399999994
7B81F1F2-2BB6-45EA-BA70-DD823385BD0A,55100066111,457.8677999999941
7B81F1F2-2BB6-45EA-BA70-DD823385BD0A,52362109240,889.9281000000037
7B81F1F2-2BB6-45EA-BA70-DD823385BD0A,52362109241,889.9456000000037
7B81F1F2-2BB6-45EA-BA70-DD823385BD0A,40052282560,537.4174999999827
7B81F1F2-2BB6-45EA-BA70-DD823385BD0A,40052282561,540.6761999999828
7B81F1F2-2BB6-45EA-BA70-DD823385BD0A,54892314160,757.9651999999635
7B81F1F2-2BB6-45EA-BA70-DD823385BD0A,54892314161,758.1032999999634
7B81F1F2-2BB6-45EA-BA70-DD823385BD0A,54892314650,758.2819999999633
7B81F1F2-2BB6-45EA-BA70-DD823385BD0A,54892314651,758.4550999999633
7B81F1F2-2BB6-45EA-BA70-DD823385BD0A,54892350990,825.6854000000019
7B81F1F2-2BB6-45EA-BA70-DD823385BD0A,54892350991,826.3051000000019
7B81F1F2-2BB6-45EA-BA70-DD823385BD0A,55100074240,454.364
7B81F1F2-2BB6-45EA-BA70-DD823385BD0A,55100074241,454.6129
7B81F1F2-2BB6-45EA-BA70-DD823385BD0A,52362113710,889.032200000004
